City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Avarua,CK,82.45,-21.2078,-159.775,Paradise Inn
2,Buala,SB,80.35,-8.145,159.5921,No hotel found
7,Coahuayana,MX,85.46,18.7333,-103.6833,No hotel found
17,Pitimbu,BR,81.19,-7.4706,-34.8086,Pousada Brisa Mar
23,Bengkulu,ID,74.17,-3.8004,102.2655,Dena Hotel
24,Eyl,SO,77.54,7.9803,49.8164,فندق ايل دابي
26,Kapaa,US,82.72,22.0752,-159.319,Pono Kai Resort
27,Vaini,TO,82.56,-21.2,-175.2,Keleti International Resort
28,Rikitea,PF,72.72,-23.1203,-134.9692,Chez Bianca & Benoit
30,San Rafael,AR,83.86,-34.6177,-68.3301,Hotel Regional
39,Sao Filipe,CV,75.92,14.8961,-24.4956,Bela Vista
43,Biak,ID,76.08,-0.9131,122.8766,No hotel found
50,Sao Jose Da Coroa Grande,BR,77.49,-8.8978,-35.1478,Hotel do Sol
56,East London,ZA,72.27,-33.0153,27.9116,No hotel found
66,Chuy,UY,73.27,-33.6971,-53.4616,Alerces
78,Pasir Gudang,MY,78.82,1.4584,103.8805,Li Garden Hotel
79,Hilo,US,86.29,19.7297,-155.09,Dolphin Bay Hotel
80,Thinadhoo,MV,80.31,0.5333,72.9333,No hotel found
82,Padang,ID,75.25,-0.9492,100.3543,losmen Surya
83,Abu Dhabi,AE,75.31,24.4667,54.3667,Marriott Downtown Abu-Dhabi
86,Tchollire,CM,74.28,8.4022,14.1698,No hotel found
88,Saint-Philippe,RE,74.79,-21.3585,55.7679,Le Baril
92,Sungai Pelek,MY,80.06,2.6449,101.717,No hotel found
93,Manokwari,ID,77.36,-0.8667,134.0833,Hotel Arfak
94,Puerto Escondido,MX,83.23,15.85,-97.0667,Hotel Barlovento
96,Santa Fe,AR,88.02,-31.6333,-60.7,Intersur Hotel
97,Banda Aceh,ID,77.72,5.5577,95.3222,Hotel 61
98,Prainha,BR,82.08,-1.8,-53.48,No hotel found
103,Phan Thiet,VN,74.84,10.9333,108.1,Khách sạn Cà Ty
105,Davila,PH,79.75,18.4726,120.5763,Blue Ridge Beach Resort
107,Kismayo,SO,78.96,-0.3582,42.5454,Kismayo Hotel
108,Butaritari,KI,81.28,3.0707,172.7902,No hotel found
111,Dubti,ET,75.85,11.7361,41.0853,No hotel found
113,Namibe,AO,70.65,-15.1961,12.1522,Hotel Chik Chik Namibe
119,Mahebourg,MU,74.25,-20.4081,57.7,Grand Bel Air
120,Touros,BR,79.14,-5.1989,-35.4608,Pousada Atlântico
122,Alta Floresta,BR,84.63,-9.8756,-56.0861,Villas Hotel
123,Gizo,SB,81.97,-8.103,156.8419,Gizo Hotel
127,Belmonte,BR,77.58,-15.8631,-38.8828,No hotel found
130,Turan,VN,78.78,16.0678,108.2208,Thanh Thanh Hotel
132,Arlit,NE,71.51,18.7369,7.3853,No hotel found
137,Mumford,GH,79.57,5.2618,-0.759,No hotel found
138,Puerto Ayora,EC,76.96,-0.7393,-90.3518,Hostal La Mirada De Solitario George
139,Fomboni,KM,79.32,-12.28,43.7425,Mohéli La Plage
140,Atuona,PF,77.9,-9.8,-139.0333,Pearl Resort
142,Santa Marta,CO,85.89,11.2408,-74.199,Casa Mita
147,Cabo San Lucas,MX,82.62,22.8909,-109.9124,Comfort Rooms
148,Umm Lajj,SA,75.4,25.0213,37.2685,No hotel found
149,Georgetown,MY,80.24,5.4112,100.3354,Page 63 hostel
151,Moron,AR,78.98,-34.6534,-58.6198,La Esquina
153,Pisco,PE,73.45,-13.7,-76.2167,La Portada
155,Kavaratti,IN,81.14,10.5669,72.642,No hotel found
159,Itarema,BR,80.04,-2.9248,-39.9167,Pousada Oásis
160,Kahului,US,81.97,20.8947,-156.47,Maui Seaside Hotel
164,Poum,NC,81.59,-20.2333,164.0167,No hotel found
167,Cozumel,MX,87.87,20.5083,-86.9458,Hotel Isla Esmeralda
169,Camargo,MX,76.87,27.6667,-105.1667,Hotel Santa Fe
172,Cockburn Town,TC,80.37,21.4612,-71.1419,The Salt Raker Inn
173,Kavieng,PG,82.09,-2.5744,150.7967,Kavieng Hotel
175,Arraial Do Cabo,BR,73.26,-22.9661,-42.0278,No hotel found
176,Takoradi,GH,79.52,4.8845,-1.7554,Hillcrest
179,Ondjiva,AO,82.18,-17.0667,15.7333,Águia Verde Hotel
180,Gwadar,PK,75.58,25.1216,62.3254,Sadaf Resorts
182,Tambura,SS,73.53,5.6,27.4667,No hotel found
191,Lazaro Cardenas,MX,82.69,17.9583,-102.2,Hotel Sol del Pacífico
192,Aliwal North,ZA,70.56,-30.6937,26.7114,No hotel found
194,Kidal,ML,75.31,18.4411,1.4078,No hotel found
196,Vallenar,CL,74.68,-28.5708,-70.7581,Hotel del Marqués
198,Bubaque,GW,81.84,11.2833,-15.8333,Chez Julio
200,Teacapan,MX,79.07,22.55,-105.75,illas y Hotel Maria Fernanda
205,Kirakira,SB,81.88,-10.4544,161.9205,No hotel found
206,Sedhiou,SN,78.21,12.7081,-15.5569,No hotel found
214,Touho,NC,80.62,-20.7833,165.2333,No hotel found
216,Sao Geraldo Do Araguaia,BR,75.67,-6.4006,-48.555,Tomazi Hotel
219,Dakar,SN,77.88,14.6937,-17.4441,翁记小吃
234,Novo Aripuana,BR,79.12,-5.1206,-60.3797,Hotel Novo Aripuanã
236,Hoi An,VN,78.76,15.8794,108.335,No hotel found
237,Dumabato,PH,72.09,16.3167,121.7,No hotel found
244,Antalaha,MG,71.4,-14.9003,50.2788,Hôtel Florida
248,Aitape,PG,77.88,-3.1374,142.3475,No hotel found
251,Mlonggo,ID,76.03,-6.5333,110.7,No hotel found
253,Luangwa,ZM,73.26,-15.6167,30.4167,No hotel found
254,Quatre Cocos,MU,74.08,-20.2078,57.7625,Horisun
256,Grand Gaube,MU,74.37,-20.0064,57.6608,Coco Villa
261,Cabedelo,BR,81.27,-6.9811,-34.8339,No hotel found
267,Ubon Ratchathani,TH,75.11,15.1667,105.1667,No hotel found
270,Mae Ramat,TH,76.8,16.984,98.5166,No hotel found
274,Isangel,VU,82.89,-19.55,169.2667,Tanna Lodge
283,Upata,VE,78.19,8.0086,-62.3989,Hotel Garibardi
284,Tombouctou,ML,70.63,20.0,-3.0,No hotel found
