City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2022-11-30 21:04:52,-21.2078,-159.775,82.45,74,75,17.27
1,Albany,US,2022-11-30 21:01:55,42.6001,-73.9662,51.26,93,100,1.01
2,Buala,SB,2022-11-30 21:04:53,-8.145,159.5921,80.35,82,100,4.99
3,Ribeira Grande,PT,2022-11-30 21:04:54,38.5167,-28.7,63.0,72,75,5.99
4,Carnarvon,AU,2022-11-30 21:04:54,-24.8667,113.6333,68.74,82,3,15.41
5,Ushuaia,AR,2022-11-30 21:04:22,-54.8,-68.3,49.66,53,75,27.63
6,Severo-Kurilsk,RU,2022-11-30 21:04:55,50.6789,156.125,28.8,86,48,10.4
7,Coahuayana,MX,2022-11-30 21:04:55,18.7333,-103.6833,85.46,63,10,6.4
8,Pevek,RU,2022-11-30 21:04:56,69.7008,170.3133,1.17,91,100,2.42
9,Phalaborwa,ZA,2022-11-30 21:04:56,-23.943,31.1411,67.6,61,0,7.78
10,Havre-Saint-Pierre,CA,2022-11-30 21:01:24,50.2334,-63.5986,24.17,78,98,16.44
11,Bluff,NZ,2022-11-30 21:04:57,-46.6,168.3333,50.81,84,96,16.89
12,Ganganagar,IN,2022-11-30 21:04:57,29.9167,73.8833,61.41,25,0,3.27
13,Khandyga,RU,2022-11-30 21:04:58,62.6667,135.6,-32.57,96,100,0.81
14,Khatanga,RU,2022-11-30 21:04:58,71.9667,102.5,-38.06,100,63,5.64
15,Chapais,CA,2022-11-30 21:01:28,49.7834,-74.8492,24.58,97,100,13.8
16,Busselton,AU,2022-11-30 21:00:14,-33.65,115.3333,62.08,81,99,9.28
17,Pitimbu,BR,2022-11-30 21:04:59,-7.4706,-34.8086,81.19,69,100,10.69
18,Castro,BR,2022-11-30 21:02:04,-24.7911,-50.0119,67.19,89,85,2.33
19,Port Macquarie,AU,2022-11-30 21:00:46,-31.4333,152.9167,59.9,64,100,3.85
20,Kodiak,US,2022-11-30 21:05:00,57.79,-152.4072,18.91,68,0,4.61
21,Saint-Augustin,CA,2022-11-30 21:05:01,51.226,-58.6502,8.42,92,99,3.69
22,Thompson,CA,2022-11-30 21:00:31,55.7435,-97.8558,-9.02,86,25,8.52
23,Bengkulu,ID,2022-11-30 21:05:01,-3.8004,102.2655,74.17,88,100,3.83
24,Eyl,SO,2022-11-30 21:05:02,7.9803,49.8164,77.54,79,8,13.2
25,Provideniya,RU,2022-11-30 21:05:03,64.3833,-173.3,33.91,64,0,11.18
26,Kapaa,US,2022-11-30 21:05:03,22.0752,-159.319,82.72,74,0,14.97
27,Vaini,TO,2022-11-30 21:04:18,-21.2,-175.2,82.56,78,75,4.61
28,Rikitea,PF,2022-11-30 21:00:21,-23.1203,-134.9692,72.72,71,92,12.86
29,Chokurdakh,RU,2022-11-30 21:05:04,70.6333,147.9167,-0.83,97,100,9.71
30,San Rafael,AR,2022-11-30 21:05:05,-34.6177,-68.3301,83.86,16,6,11.74
31,Arman,RU,2022-11-30 21:05:06,59.7,150.1667,25.02,83,100,16.13
32,Haines Junction,CA,2022-11-30 21:05:06,60.7522,-137.5108,-3.12,79,100,0.36
33,Airai,TL,2022-11-30 21:05:07,-8.9266,125.4092,60.53,92,100,1.1
34,Seoul,KR,2022-11-30 21:05:07,37.5683,126.9778,18.84,18,37,7.38
35,Barrow,US,2022-11-30 21:05:08,71.2906,-156.7887,28.42,93,100,13.8
36,Moirang,IN,2022-11-30 21:05:08,24.5,93.7667,64.18,94,99,0.65
37,Rovenki,UA,2022-11-30 21:05:09,48.0833,39.3776,26.22,41,56,17.18
38,Yellowknife,CA,2022-11-30 21:01:27,62.456,-114.3525,-15.45,75,63,4.0
39,Sao Filipe,CV,2022-11-30 21:04:03,14.8961,-24.4956,75.92,65,50,9.55
40,Sterling,US,2022-11-30 21:00:34,39.0062,-77.4286,56.77,58,100,23.02
41,Saint George,US,2022-11-30 21:03:11,37.1041,-113.5841,56.43,25,0,8.05
42,Presidencia Roque Saenz Pena,AR,2022-11-30 21:05:10,-26.7852,-60.4388,100.62,18,50,9.93
43,Biak,ID,2022-11-30 21:05:11,-0.9131,122.8766,76.08,80,95,3.96
44,Usinsk,RU,2022-11-30 21:05:11,65.9939,57.5281,-9.54,100,99,3.6
45,Verkhoyansk,RU,2022-11-30 21:05:12,67.5447,133.385,-20.97,99,100,3.13
46,San Patricio,US,2022-11-30 21:05:12,28.017,-97.5169,66.29,44,3,17.72
47,Batemans Bay,AU,2022-11-30 21:06:13,-35.7167,150.1833,64.09,74,60,1.45
48,Mataura,NZ,2022-11-30 21:01:38,-46.1927,168.8643,50.49,53,81,6.93
49,Punta Arenas,CL,2022-11-30 21:04:04,-53.15,-70.9167,50.11,61,100,22.28
50,Sao Jose Da Coroa Grande,BR,2022-11-30 21:06:14,-8.8978,-35.1478,77.49,77,100,9.62
51,Hailar,CN,2022-11-30 21:06:14,49.2,119.7,-20.4,90,26,8.37
52,Bethel,US,2022-11-30 21:04:07,41.3712,-73.414,57.65,83,100,5.99
53,Gat,IL,2022-11-30 21:06:15,31.61,34.7642,60.4,69,0,4.29
54,Qaanaaq,GL,2022-11-30 21:02:44,77.484,-69.3632,-21.98,77,17,5.19
55,Turkistan,KZ,2022-11-30 21:06:16,43.0,68.0,28.65,63,48,9.19
56,East London,ZA,2022-11-30 21:06:17,-33.0153,27.9116,72.27,90,100,12.33
57,Lebu,CL,2022-11-30 21:06:17,-37.6167,-73.65,55.89,65,0,20.85
58,Ayan,RU,2022-11-30 21:06:18,56.45,138.1667,-7.01,86,100,26.24
59,Tuktoyaktuk,CA,2022-11-30 21:04:55,69.4541,-133.0374,2.7,96,100,7.14
60,Sioux Lookout,CA,2022-11-30 21:06:18,50.1001,-91.917,15.55,84,100,17.09
61,Sidi Ali,DZ,2022-11-30 21:06:19,36.0998,0.4206,55.81,54,100,5.23
62,Port Alfred,ZA,2022-11-30 21:06:19,-33.5906,26.891,66.18,95,100,5.32
63,Victoria,HK,2022-11-30 21:01:24,22.2855,114.1577,63.32,81,100,18.01
64,Cape Town,ZA,2022-11-30 21:05:00,-33.9258,18.4232,67.26,77,31,3.0
65,Broome,US,2022-11-30 21:06:20,42.2506,-75.833,46.71,86,100,21.85
66,Chuy,UY,2022-11-30 21:06:21,-33.6971,-53.4616,73.27,79,10,16.78
67,Krasnoarmeysk,RU,2022-11-30 21:06:21,51.0239,45.6969,20.44,81,4,5.46
68,Afsin,TR,2022-11-30 21:06:22,38.2477,36.914,45.88,90,99,0.94
69,Ituporanga,BR,2022-11-30 21:06:23,-27.4144,-49.6025,68.65,97,100,2.84
70,Kapchorwa,UG,2022-11-30 21:06:23,1.3965,34.4509,61.47,64,98,6.22
71,Nouadhibou,MR,2022-11-30 21:06:24,20.931,-17.0347,65.61,74,0,16.89
72,Ilulissat,GL,2022-11-30 21:02:55,69.2167,-51.1,23.02,86,100,27.63
73,Hermanus,ZA,2022-11-30 21:06:25,-34.4187,19.2345,59.81,87,48,2.68
74,Inuvik,CA,2022-11-30 21:06:25,68.3499,-133.7218,-0.11,92,100,4.88
75,Grindavik,IS,2022-11-30 21:06:25,63.8424,-22.4338,45.07,93,75,19.57
76,Podgornoye,RU,2022-11-30 21:06:26,51.735,39.1496,16.02,92,0,4.47
77,Tasiilaq,GL,2022-11-30 21:06:12,65.6145,-37.6368,39.36,95,100,22.35
78,Pasir Gudang,MY,2022-11-30 21:06:27,1.4584,103.8805,78.82,91,75,2.3
79,Hilo,US,2022-11-30 21:06:27,19.7297,-155.09,86.29,81,40,5.75
80,Thinadhoo,MV,2022-11-30 21:06:28,0.5333,72.9333,80.31,68,29,6.15
81,Guozhen,CN,2022-11-30 21:06:28,34.3659,107.359,22.33,54,97,2.42
82,Padang,ID,2022-11-30 21:06:29,-0.9492,100.3543,75.25,95,100,2.24
83,Abu Dhabi,AE,2022-11-30 21:06:29,24.4667,54.3667,75.31,89,99,1.01
84,Longyearbyen,SJ,2022-11-30 21:06:30,78.2186,15.6401,35.44,87,75,11.5
85,Dunedin,NZ,2022-11-30 21:05:19,-45.8742,170.5036,59.81,60,9,8.01
86,Tchollire,CM,2022-11-30 21:06:30,8.4022,14.1698,74.28,31,91,1.52
87,Luderitz,NA,2022-11-30 21:06:31,-26.6481,15.1594,63.23,79,0,10.8
88,Saint-Philippe,RE,2022-11-30 21:06:31,-21.3585,55.7679,74.79,78,30,8.97
89,Clyde River,CA,2022-11-30 21:05:19,70.4692,-68.5914,-26.77,91,12,4.12
90,Talnakh,RU,2022-11-30 21:05:27,69.4865,88.3972,-2.83,99,100,4.72
91,Ancud,CL,2022-11-30 21:06:32,-41.8697,-73.8203,55.08,57,14,6.6
92,Sungai Pelek,MY,2022-11-30 21:06:33,2.6449,101.717,80.06,94,20,1.14
93,Manokwari,ID,2022-11-30 21:07:33,-0.8667,134.0833,77.36,81,100,3.04
94,Puerto Escondido,MX,2022-11-30 21:07:34,15.85,-97.0667,83.23,61,75,8.05
95,Inskoy,RU,2022-11-30 21:07:34,54.4297,86.44,-8.93,93,5,3.27
96,Santa Fe,AR,2022-11-30 21:07:35,-31.6333,-60.7,88.02,45,100,13.8
97,Banda Aceh,ID,2022-11-30 21:07:35,5.5577,95.3222,77.72,80,100,2.75
98,Prainha,BR,2022-11-30 21:07:36,-1.8,-53.48,82.08,74,63,4.68
99,Lompoc,US,2022-11-30 21:07:36,34.6391,-120.4579,65.79,71,100,11.5
100,New Norfolk,AU,2022-11-30 21:07:37,-42.7826,147.0587,53.92,52,5,1.99
101,Khani,GE,2022-11-30 21:07:37,41.9563,42.9566,45.97,78,19,5.88
102,Naze,JP,2022-11-30 21:07:38,28.3667,129.4833,59.0,77,100,18.63
103,Phan Thiet,VN,2022-11-30 21:07:38,10.9333,108.1,74.84,84,98,6.62
104,Dikson,RU,2022-11-30 21:07:39,73.5069,80.5464,22.23,95,100,11.63
105,Davila,PH,2022-11-30 21:07:39,18.4726,120.5763,79.75,84,42,22.24
106,Hobart,AU,2022-11-30 21:06:04,-42.8794,147.3294,54.27,62,75,9.22
107,Kismayo,SO,2022-11-30 21:07:40,-0.3582,42.5454,78.96,81,48,13.22
108,Butaritari,KI,2022-11-30 21:07:40,3.0707,172.7902,81.28,76,15,12.84
109,Port Elizabeth,ZA,2022-11-30 21:06:51,-33.918,25.5701,67.1,91,36,5.01
110,Shingu,JP,2022-11-30 21:07:41,33.7333,135.9833,44.96,75,94,6.89
111,Dubti,ET,2022-11-30 21:07:42,11.7361,41.0853,75.85,50,2,10.4
112,Naryan-Mar,RU,2022-11-30 21:07:42,67.6713,53.087,4.86,96,12,8.16
113,Namibe,AO,2022-11-30 21:07:43,-15.1961,12.1522,70.65,71,80,2.89
114,Gornozavodsk,RU,2022-11-30 21:07:43,58.3758,58.3211,9.43,96,100,1.74
115,Gornopravdinsk,RU,2022-11-30 21:07:44,60.05,69.9,-10.79,96,83,3.8
116,San Gavino Monreale,IT,2022-11-30 21:07:44,39.5514,8.7917,51.46,79,5,0.81
